"entity_id","state","last_changed"
"sensor.sigen_consumed_power","1.888","2025-05-01 00:00:00.000Z"
"sensor.sigen_consumed_power","1.374","2025-05-01 01:00:00.000Z"
"sensor.sigen_consumed_power","1.907","2025-05-01 02:00:00.000Z"
"sensor.sigen_consumed_power","1.066","2025-05-01 03:00:00.000Z"
"sensor.sigen_consumed_power","1.12","2025-05-01 04:00:00.000Z"
"sensor.sigen_consumed_power","1.2","2025-05-01 05:00:00.000Z"
"sensor.sigen_consumed_power","4.67","2025-05-01 06:00:00.000Z"
"sensor.sigen_consumed_power","6.874","2025-05-01 07:00:00.000Z"
"sensor.sigen_consumed_power","2.544","2025-05-01 08:00:00.000Z"
"sensor.sigen_consumed_power","3.187","2025-05-01 09:00:00.000Z"
"sensor.sigen_consumed_power","0.938","2025-05-01 10:00:00.000Z"
"sensor.sigen_consumed_power","0.752","2025-05-01 11:00:00.000Z"
"sensor.sigen_consumed_power","0.757","2025-05-01 12:00:00.000Z"
"sensor.sigen_consumed_power","0.666","2025-05-01 13:00:00.000Z"
"sensor.sigen_consumed_power","0.747","2025-05-01 14:00:00.000Z"
"sensor.sigen_consumed_power","4.598","2025-05-01 15:00:00.000Z"
"sensor.sigen_consumed_power","3.235","2025-05-01 16:00:00.000Z"
"sensor.sigen_consumed_power","3.294","2025-05-01 17:00:00.000Z"
"sensor.sigen_consumed_power","3.348","2025-05-01 18:00:00.000Z"
"sensor.sigen_consumed_power","4.34","2025-05-01 19:00:00.000Z"
"sensor.sigen_consumed_power","4.426","2025-05-01 20:00:00.000Z"
"sensor.sigen_consumed_power","4.684","2025-05-01 21:00:00.000Z"
"sensor.sigen_consumed_power","2.807","2025-05-01 22:00:00.000Z"
"sensor.sigen_consumed_power","1.05","2025-05-01 23:00:00.000Z"
"sensor.sigen_consumed_power","0.754","2025-05-02 00:00:00.000Z"
"sensor.sigen_consumed_power","1.777","2025-05-02 01:00:00.000Z"
"sensor.sigen_consumed_power","1.365","2025-05-02 02:00:00.000Z"
"sensor.sigen_consumed_power","1.117","2025-05-02 03:00:00.000Z"
"sensor.sigen_consumed_power","2.139","2025-05-02 04:00:00.000Z"
"sensor.sigen_consumed_power","0.986","2025-05-02 05:00:00.000Z"
"sensor.sigen_consumed_power","5.11","2025-05-02 06:00:00.000Z"
