"timestamp","sensor.sigen_consumed_power","sensor.sigen_pv_power"
"2025-05-01T12:00:00.000Z","1.888","0"
"2025-05-01T13:00:00.000Z","1.374","0"
"2025-05-01T14:00:00.000Z","1.907","0"
"2025-05-01T15:00:00.000Z","1.066","0"
"2025-05-01T16:00:00.000Z","1.12","0"
"2025-05-01T17:00:00.000Z","1.2","0"
"2025-05-01T18:00:00.000Z","4.67","0.007"
"2025-05-01T19:00:00.000Z","6.874","0.152"
"2025-05-01T20:00:00.000Z","2.544","0.353"
"2025-05-01T21:00:00.000Z","3.187","0.64"
"2025-05-01T22:00:00.000Z","0.938","1.186"
"2025-05-01T23:00:00.000Z","0.752","1.183"
"2025-05-02T00:00:00.000Z","0.757","1.696"
"2025-05-02T01:00:00.000Z","0.666","1.84"
"2025-05-02T02:00:00.000Z","0.747","1.57"
"2025-05-02T03:00:00.000Z","4.598","1.211"
"2025-05-02T04:00:00.000Z","3.235","0.478"
"2025-05-02T05:00:00.000Z","3.294","0.134"
"2025-05-02T06:00:00.000Z","3.348","0.005"
"2025-05-02T07:00:00.000Z","4.34","0"
"2025-05-02T08:00:00.000Z","4.426","0"
"2025-05-02T09:00:00.000Z","4.684","0"
"2025-05-02T10:00:00.000Z","2.807","0"
"2025-05-02T11:00:00.000Z","1.05","0"
"2025-05-02T12:00:00.000Z","0.754","0"
"2025-05-02T13:00:00.000Z","1.777","0"
"2025-05-02T14:00:00.000Z","1.365","0"
"2025-05-02T15:00:00.000Z","1.117","0"
"2025-05-02T16:00:00.000Z","2.139","0"
"2025-05-02T17:00:00.000Z","0.986","0"
"2025-05-02T18:00:00.000Z","5.11","0.008"
"2025-05-02T19:00:00.000Z","3.398","0.184"
"2025-05-02T20:00:00.000Z","5.326","0.324"
"2025-05-02T21:00:00.000Z","3.707","0.502"
"2025-05-02T22:00:00.000Z","1.961","0.81"
"2025-05-02T23:00:00.000Z","3.623","0.725"
"2025-05-03T00:00:00.000Z","2.47","0.882"
"2025-05-03T01:00:00.000Z","2.982","1.044"
"2025-05-03T02:00:00.000Z","2.402","0.564"
"2025-05-03T03:00:00.000Z","3.198","0.402"
"2025-05-03T04:00:00.000Z","2.513","0.258"
"2025-05-03T05:00:00.000Z","3.457","0.104"
"2025-05-03T06:00:00.000Z","4.26","0.004"
"2025-05-03T07:00:00.000Z","1.952","0"
"2025-05-03T08:00:00.000Z","6.169","0"
"2025-05-03T09:00:00.000Z","7.298","0"
"2025-05-03T10:00:00.000Z","7.465","0"
"2025-05-03T11:00:00.000Z","1.538","0"
"2025-05-03T12:00:00.000Z","1.433","0"
"2025-05-03T13:00:00.000Z","1.091","0"
"2025-05-03T14:00:00.000Z","1.769","0"
"2025-05-03T15:00:00.000Z","0.895","0"
"2025-05-03T16:00:00.000Z","1.996","0"
"2025-05-03T17:00:00.000Z","1.467","0"
"2025-05-03T18:00:00.000Z","5.242","0.016"
"2025-05-03T19:00:00.000Z","3.615","0.225"
"2025-05-03T20:00:00.000Z","5.873","0.369"
"2025-05-03T21:00:00.000Z","3.987","0.85"
"2025-05-03T22:00:00.000Z","1.18","2.638"
"2025-05-03T23:00:00.000Z","4.075","2.875"
"2025-05-04T00:00:00.000Z","0.912","3.924"
"2025-05-04T01:00:00.000Z","1.901","4.255"
"2025-05-04T02:00:00.000Z","1.047","3.343"
"2025-05-04T03:00:00.000Z","2.754","1.505"
"2025-05-04T04:00:00.000Z","3.115","0.475"
"2025-05-04T05:00:00.000Z","1.987","0.141"
"2025-05-04T06:00:00.000Z","1.511","0.006"
"2025-05-04T07:00:00.000Z","2.392","0"
"2025-05-04T08:00:00.000Z","2.787","0"
"2025-05-04T09:00:00.000Z","5.836","0"
"2025-05-04T10:00:00.000Z","3.854","0"
"2025-05-04T11:00:00.000Z","2.658","0"
"2025-05-04T12:00:00.000Z","2.568","0"
"2025-05-04T13:00:00.000Z","2.347","0"
"2025-05-04T14:00:00.000Z","2.051","0"
"2025-05-04T15:00:00.000Z","1.024","0"
"2025-05-04T16:00:00.000Z","0.664","0"
"2025-05-04T17:00:00.000Z","2.262","0"
"2025-05-04T18:00:00.000Z","4.409","0.014"
"2025-05-04T19:00:00.000Z","3.366","0.211"
"2025-05-04T20:00:00.000Z","4.123","0.654"
"2025-05-04T21:00:00.000Z","4.949","0.947"
"2025-05-04T22:00:00.000Z","4.192","1.676"
"2025-05-04T23:00:00.000Z","0.948","1.888"
"2025-05-05T00:00:00.000Z","1.567","2.482"
"2025-05-05T01:00:00.000Z","2.068","3.26"
"2025-05-05T02:00:00.000Z","1.852","2.342"
"2025-05-05T03:00:00.000Z","2.694","2.347"
"2025-05-05T04:00:00.000Z","1.624","1.129"
"2025-05-05T05:00:00.000Z","2.751","0.143"
"2025-05-05T06:00:00.000Z","1.556","0.005"
"2025-05-05T07:00:00.000Z","3.183","0"
"2025-05-05T08:00:00.000Z","5.129","0"
"2025-05-05T09:00:00.000Z","5.223","0"
"2025-05-05T10:00:00.000Z","3.761","0"
"2025-05-05T11:00:00.000Z","2.937","0"
"2025-05-05T12:00:00.000Z","3.034","0"
"2025-05-05T13:00:00.000Z","4.051","0"
"2025-05-05T14:00:00.000Z","3.043","0"
"2025-05-05T15:00:00.000Z","4.418","0"
"2025-05-05T16:00:00.000Z","3.099","0"
"2025-05-05T17:00:00.000Z","4.63","0"
"2025-05-05T18:00:00.000Z","4.807","0.017"
"2025-05-05T19:00:00.000Z","7.008","0.209"
"2025-05-05T20:00:00.000Z","4.463","0.344"
"2025-05-05T21:00:00.000Z","2.705","0.741"
"2025-05-05T22:00:00.000Z","0.867","2.226"
"2025-05-05T23:00:00.000Z","0.686","4.064"
"2025-05-06T00:00:00.000Z","0.633","4.558"
"2025-05-06T01:00:00.000Z","0.749","4.239"
"2025-05-06T02:00:00.000Z","0.745","3.454"
"2025-05-06T03:00:00.000Z","0.993","2.386"
"2025-05-06T04:00:00.000Z","4.882","1.192"
"2025-05-06T05:00:00.000Z","2.528","0.19"
"2025-05-06T06:00:00.000Z","2.119","0.005"
"2025-05-06T07:00:00.000Z","3.637","0"
"2025-05-06T08:00:00.000Z","6.165","0"
"2025-05-06T09:00:00.000Z","6.035","0"
"2025-05-06T10:00:00.000Z","4.451","0"
"2025-05-06T11:00:00.000Z","2.914","0"
"2025-05-06T12:00:00.000Z","2.768","0"
"2025-05-06T13:00:00.000Z","3.918","0"
"2025-05-06T14:00:00.000Z","3.407","0"
"2025-05-06T15:00:00.000Z","2.236","0"
"2025-05-06T16:00:00.000Z","2.493","0"
"2025-05-06T17:00:00.000Z","1.442","0"
"2025-05-06T18:00:00.000Z","6.492","0.016"
"2025-05-06T19:00:00.000Z","7.779","0.235"
"2025-05-06T20:00:00.000Z","4.127","0.542"
"2025-05-06T21:00:00.000Z","2.78","1.325"
"2025-05-06T22:00:00.000Z","0.837","2.539"
"2025-05-06T23:00:00.000Z","0.736","3.515"
"2025-05-07T00:00:00.000Z","0.666","3.402"
"2025-05-07T01:00:00.000Z","0.824","1.405"
"2025-05-07T02:00:00.000Z","0.873","1.012"
"2025-05-07T03:00:00.000Z","4.007","1.382"
"2025-05-07T04:00:00.000Z","2.541","0.713"
"2025-05-07T05:00:00.000Z","2.106","0.128"
"2025-05-07T06:00:00.000Z","3.845","0.005"
"2025-05-07T07:00:00.000Z","1.279","0"
"2025-05-07T08:00:00.000Z","3.555","0"
"2025-05-07T09:00:00.000Z","5.963","0"
"2025-05-07T10:00:00.000Z","7.304","0"
"2025-05-07T11:00:00.000Z","5.14","0"
"2025-05-07T12:00:00.000Z","4.154","0"
"2025-05-07T13:00:00.000Z","2.877","0"
"2025-05-07T14:00:00.000Z","2.585","0"
"2025-05-07T15:00:00.000Z","2.366","0"
"2025-05-07T16:00:00.000Z","0.719","0"
"2025-05-07T17:00:00.000Z","0.928","0"
"2025-05-07T18:00:00.000Z","3.888","0.012"
"2025-05-07T19:00:00.000Z","1.953","0.184"
"2025-05-07T20:00:00.000Z","2.733","0.467"
"2025-05-07T21:00:00.000Z","2.482","1.07"
"2025-05-07T22:00:00.000Z","1.984","1.09"
"2025-05-07T23:00:00.000Z","1.38","1.354"
"2025-05-08T00:00:00.000Z","0.973","1.39"
"2025-05-08T01:00:00.000Z","0.818","2.058"
"2025-05-08T02:00:00.000Z","0.989","2.135"
"2025-05-08T03:00:00.000Z","4.799","2.065"
"2025-05-08T04:00:00.000Z","1.902","0.629"
"2025-05-08T05:00:00.000Z","3.582","0.166"
"2025-05-08T06:00:00.000Z","3.079","0.001"
"2025-05-08T07:00:00.000Z","1.747","0"
"2025-05-08T08:00:00.000Z","2.614","0"
"2025-05-08T09:00:00.000Z","6.622","0"
"2025-05-08T10:00:00.000Z","4.273","0"
"2025-05-08T11:00:00.000Z","2.61","0"
"2025-05-08T12:00:00.000Z","2.531","0"
"2025-05-08T13:00:00.000Z","2.558","0"
"2025-05-08T14:00:00.000Z","2.496","0"
"2025-05-08T15:00:00.000Z","2.51","0"
"2025-05-08T16:00:00.000Z","0.946","0"
"2025-05-08T17:00:00.000Z","1.781","0"
"2025-05-08T18:00:00.000Z","1.38","0.004"
"2025-05-08T19:00:00.000Z","4.266","0.178"
"2025-05-08T20:00:00.000Z","3.197","0.409"
"2025-05-08T21:00:00.000Z","1.86","0.752"
"2025-05-08T22:00:00.000Z","0.822","2.998"
"2025-05-08T23:00:00.000Z","1.199","4.303"
"2025-05-09T00:00:00.000Z","0.829","4.331"
"2025-05-09T01:00:00.000Z","1.143","4.059"
"2025-05-09T02:00:00.000Z","0.859","3.278"
"2025-05-09T03:00:00.000Z","0.713","2.241"
"2025-05-09T04:00:00.000Z","1.433","0.838"
"2025-05-09T05:00:00.000Z","2.079","0.103"
"2025-05-09T06:00:00.000Z","2.092","0"
"2025-05-09T07:00:00.000Z","1.237","0"
"2025-05-09T08:00:00.000Z","1.613","0"
"2025-05-09T09:00:00.000Z","4.815","0"
"2025-05-09T10:00:00.000Z","4.942","0"
"2025-05-09T11:00:00.000Z","3.928","0"
"2025-05-09T12:00:00.000Z","2.554","0"
"2025-05-09T13:00:00.000Z","2.543","0"
"2025-05-09T14:00:00.000Z","2.474","0"
"2025-05-09T15:00:00.000Z","2.537","0"
"2025-05-09T16:00:00.000Z","2.504","0"
"2025-05-09T17:00:00.000Z","2.412","0"
"2025-05-09T18:00:00.000Z","2.762","0.001"
"2025-05-09T19:00:00.000Z","2.13","0.15"
"2025-05-09T20:00:00.000Z","2.446","0.394"
"2025-05-09T21:00:00.000Z","2.311","0.718"
"2025-05-09T22:00:00.000Z","1.363","0.868"
"2025-05-09T23:00:00.000Z","1.477","1.014"
"2025-05-10T00:00:00.000Z","1.463","0.859"
"2025-05-10T01:00:00.000Z","1.522","0.455"
"2025-05-10T02:00:00.000Z","1.534","0.384"
"2025-05-10T03:00:00.000Z","3.355","0.272"
"2025-05-10T04:00:00.000Z","1.363","0.18"
"2025-05-10T05:00:00.000Z","2.038","0.122"
"2025-05-10T06:00:00.000Z","2.252","0.003"
"2025-05-10T07:00:00.000Z","1.293","0"
"2025-05-10T08:00:00.000Z","2.251","0"
"2025-05-10T09:00:00.000Z","1.903","0"
"2025-05-10T10:00:00.000Z","1.13","0"
"2025-05-10T11:00:00.000Z","0.716","0"
