entity_id,state,last_changed
sensor.sigen_pv_power,5.122,2025-09-15T22:30:00.000Z
sensor.sigen_pv_power,5.036,2025-09-15T22:30:08.080Z
sensor.sigen_pv_power,5.035,2025-09-15T22:30:38.470Z
sensor.sigen_pv_power,5.048,2025-09-15T22:30:48.510Z
sensor.sigen_pv_power,5.052,2025-09-15T22:30:58.530Z
sensor.sigen_pv_power,5.054,2025-09-15T22:31:08.556Z
sensor.sigen_pv_power,5.055,2025-09-15T22:31:18.700Z
sensor.sigen_pv_power,5.043,2025-09-15T22:31:28.853Z
sensor.sigen_pv_power,5.044,2025-09-15T22:31:38.940Z
sensor.sigen_pv_power,5.045,2025-09-15T22:31:49.010Z
sensor.sigen_pv_power,5.055,2025-09-15T22:31:59.040Z
sensor.sigen_pv_power,5.039,2025-09-15T22:32:09.073Z
sensor.sigen_pv_power,5.043,2025-09-15T22:32:19.200Z
sensor.sigen_pv_power,5.044,2025-09-15T22:32:29.329Z
sensor.sigen_pv_power,5.048,2025-09-15T22:32:39.460Z
sensor.sigen_pv_power,5.058,2025-09-15T22:32:49.771Z
sensor.sigen_pv_power,5.049,2025-09-15T22:32:59.801Z
sensor.sigen_pv_power,5.059,2025-09-15T22:33:09.854Z
sensor.sigen_pv_power,5.046,2025-09-15T22:33:20.047Z
sensor.sigen_pv_power,5.078,2025-09-15T22:33:30.116Z
sensor.sigen_pv_power,5.085,2025-09-15T22:33:40.245Z
sensor.sigen_pv_power,5.086,2025-09-15T22:33:50.378Z
sensor.sigen_pv_power,5.090,2025-09-15T22:34:00.511Z
sensor.sigen_pv_power,4.815,2025-09-15T22:34:10.639Z
sensor.sigen_pv_power,5.200,2025-09-15T22:34:20.773Z
sensor.sigen_pv_power,5.377,2025-09-15T22:34:30.901Z
sensor.sigen_pv_power,5.434,2025-09-15T22:34:41.032Z
sensor.sigen_pv_power,5.438,2025-09-15T22:34:51.163Z
sensor.sigen_pv_power,5.444,2025-09-15T22:35:01.294Z
sensor.sigen_pv_power,5.435,2025-09-15T22:35:11.542Z
sensor.sigen_pv_power,5.443,2025-09-15T22:35:21.660Z
sensor.sigen_pv_power,5.454,2025-09-15T22:35:31.792Z
sensor.sigen_pv_power,5.417,2025-09-15T22:35:41.922Z
sensor.sigen_pv_power,5.438,2025-09-15T22:35:52.052Z
sensor.sigen_pv_power,5.430,2025-09-15T22:36:02.183Z
sensor.sigen_pv_power,5.400,2025-09-15T22:36:12.314Z
sensor.sigen_pv_power,5.433,2025-09-15T22:36:22.445Z
sensor.sigen_pv_power,5.453,2025-09-15T22:36:32.475Z
sensor.sigen_pv_power,5.437,2025-09-15T22:36:42.502Z
sensor.sigen_pv_power,5.457,2025-09-15T22:36:52.883Z
sensor.sigen_pv_power,5.448,2025-09-15T22:37:03.074Z
sensor.sigen_pv_power,5.465,2025-09-15T22:37:13.100Z
sensor.sigen_pv_power,5.472,2025-09-15T22:37:23.130Z
sensor.sigen_pv_power,5.470,2025-09-15T22:37:33.159Z
sensor.sigen_pv_power,5.462,2025-09-15T22:37:43.290Z
sensor.sigen_pv_power,5.472,2025-09-15T22:37:53.419Z
sensor.sigen_pv_power,5.483,2025-09-15T22:38:03.552Z
sensor.sigen_pv_power,5.490,2025-09-15T22:38:13.786Z
sensor.sigen_pv_power,5.484,2025-09-15T22:38:24.017Z
sensor.sigen_pv_power,5.475,2025-09-15T22:38:34.148Z
sensor.sigen_pv_power,5.465,2025-09-15T22:38:54.308Z
sensor.sigen_pv_power,5.483,2025-09-15T22:39:04.338Z
sensor.sigen_pv_power,5.484,2025-09-15T22:39:24.764Z
sensor.sigen_pv_power,5.495,2025-09-15T22:39:34.834Z
sensor.sigen_pv_power,5.489,2025-09-15T22:39:45.124Z
sensor.sigen_pv_power,5.494,2025-09-15T22:39:55.204Z
sensor.sigen_pv_power,5.499,2025-09-15T22:40:05.226Z
sensor.sigen_pv_power,5.496,2025-09-15T22:40:15.359Z
sensor.sigen_pv_power,5.498,2025-09-15T22:40:25.490Z
sensor.sigen_pv_power,5.484,2025-09-15T22:40:35.516Z
sensor.sigen_pv_power,5.488,2025-09-15T22:40:45.665Z
sensor.sigen_pv_power,5.484,2025-09-15T22:40:55.695Z
sensor.sigen_pv_power,5.505,2025-09-15T22:41:05.809Z
sensor.sigen_pv_power,5.493,2025-09-15T22:41:15.838Z
sensor.sigen_pv_power,5.495,2025-09-15T22:41:25.985Z
sensor.sigen_pv_power,5.502,2025-09-15T22:41:36.098Z
sensor.sigen_pv_power,5.492,2025-09-15T22:41:46.287Z
sensor.sigen_pv_power,5.495,2025-09-15T22:41:56.336Z
sensor.sigen_pv_power,5.512,2025-09-15T22:42:06.442Z
sensor.sigen_pv_power,5.515,2025-09-15T22:42:16.670Z
sensor.sigen_pv_power,5.506,2025-09-15T22:42:26.716Z
sensor.sigen_pv_power,5.503,2025-09-15T22:42:36.946Z
sensor.sigen_pv_power,5.525,2025-09-15T22:42:47.085Z
sensor.sigen_pv_power,5.026,2025-09-15T22:42:57.251Z
sensor.sigen_pv_power,5.067,2025-09-15T22:43:07.382Z
sensor.sigen_pv_power,5.078,2025-09-15T22:43:17.511Z
sensor.sigen_pv_power,5.081,2025-09-15T22:43:27.642Z
sensor.sigen_pv_power,5.092,2025-09-15T22:43:37.672Z
sensor.sigen_pv_power,5.077,2025-09-15T22:43:47.700Z
sensor.sigen_pv_power,5.093,2025-09-15T22:43:57.832Z
sensor.sigen_pv_power,5.090,2025-09-15T22:44:07.861Z
sensor.sigen_pv_power,5.073,2025-09-15T22:44:17.890Z
sensor.sigen_pv_power,5.088,2025-09-15T22:44:28.022Z
sensor.sigen_pv_power,5.090,2025-09-15T22:44:38.253Z
sensor.sigen_pv_power,5.257,2025-09-15T22:44:48.286Z
sensor.sigen_pv_power,5.232,2025-09-15T22:44:58.447Z
sensor.sigen_consumed_power,0.008,2025-09-15T22:30:00.000Z
sensor.sigen_consumed_power,0.132,2025-09-15T22:30:02.791Z
sensor.sigen_consumed_power,0.12,2025-09-15T22:30:07.821Z
sensor.sigen_consumed_power,0.034,2025-09-15T22:30:08.080Z
sensor.sigen_consumed_power,0.026,2025-09-15T22:30:12.921Z
sensor.sigen_consumed_power,0.041,2025-09-15T22:30:18.051Z
sensor.sigen_consumed_power,0.036,2025-09-15T22:30:23.071Z
sensor.sigen_consumed_power,0.037,2025-09-15T22:30:28.251Z
sensor.sigen_consumed_power,0.027,2025-09-15T22:30:33.282Z
sensor.sigen_consumed_power,0.038,2025-09-15T22:30:38.311Z
sensor.sigen_consumed_power,0.037,2025-09-15T22:30:38.470Z
sensor.sigen_consumed_power,0.031,2025-09-15T22:30:43.331Z
sensor.sigen_consumed_power,0.033,2025-09-15T22:30:48.351Z
sensor.sigen_consumed_power,0.046,2025-09-15T22:30:48.510Z
sensor.sigen_consumed_power,0.045,2025-09-15T22:30:53.461Z
sensor.sigen_consumed_power,0.046,2025-09-15T22:30:58.481Z
sensor.sigen_consumed_power,0.05,2025-09-15T22:30:58.530Z
sensor.sigen_consumed_power,0.052,2025-09-15T22:31:08.556Z
sensor.sigen_consumed_power,0.049,2025-09-15T22:31:08.881Z
sensor.sigen_consumed_power,0.06,2025-09-15T22:31:13.961Z
sensor.sigen_consumed_power,0.061,2025-09-15T22:31:18.700Z
sensor.sigen_consumed_power,0.055,2025-09-15T22:31:18.991Z
sensor.sigen_consumed_power,0.056,2025-09-15T22:31:24.013Z
sensor.sigen_consumed_power,0.044,2025-09-15T22:31:28.853Z
sensor.sigen_consumed_power,0.038,2025-09-15T22:31:29.032Z
sensor.sigen_consumed_power,0.039,2025-09-15T22:31:38.941Z
sensor.sigen_consumed_power,0.051,2025-09-15T22:31:39.083Z
sensor.sigen_consumed_power,0.036,2025-09-15T22:31:44.111Z
sensor.sigen_consumed_power,0.037,2025-09-15T22:31:49.011Z
sensor.sigen_consumed_power,0.047,2025-09-15T22:31:49.131Z
sensor.sigen_consumed_power,0.04,2025-09-15T22:31:54.151Z
sensor.sigen_consumed_power,0.05,2025-09-15T22:31:59.041Z
sensor.sigen_consumed_power,0.049,2025-09-15T22:31:59.171Z
sensor.sigen_consumed_power,0.058,2025-09-15T22:32:04.191Z
sensor.sigen_consumed_power,0.042,2025-09-15T22:32:09.074Z
sensor.sigen_consumed_power,0.046,2025-09-15T22:32:09.245Z
sensor.sigen_consumed_power,0.035,2025-09-15T22:32:14.263Z
sensor.sigen_consumed_power,0.039,2025-09-15T22:32:19.201Z
sensor.sigen_consumed_power,0.044,2025-09-15T22:32:19.282Z
sensor.sigen_consumed_power,0.039,2025-09-15T22:32:24.331Z
sensor.sigen_consumed_power,0.04,2025-09-15T22:32:29.330Z
sensor.sigen_consumed_power,0.038,2025-09-15T22:32:29.451Z
sensor.sigen_consumed_power,0.046,2025-09-15T22:32:34.471Z
sensor.sigen_consumed_power,0.05,2025-09-15T22:32:39.461Z
sensor.sigen_consumed_power,0.052,2025-09-15T22:32:39.582Z
sensor.sigen_consumed_power,0.038,2025-09-15T22:32:44.640Z
sensor.sigen_consumed_power,0.048,2025-09-15T22:32:49.771Z
sensor.sigen_consumed_power,0.066,2025-09-15T22:32:49.898Z
sensor.sigen_consumed_power,0.057,2025-09-15T22:32:54.914Z
sensor.sigen_consumed_power,0.048,2025-09-15T22:32:59.801Z
sensor.sigen_consumed_power,0.05,2025-09-15T22:32:59.942Z
sensor.sigen_consumed_power,0.047,2025-09-15T22:33:04.962Z
sensor.sigen_consumed_power,0.057,2025-09-15T22:33:09.854Z
sensor.sigen_consumed_power,0.168,2025-09-15T22:33:15.033Z
sensor.sigen_consumed_power,0.155,2025-09-15T22:33:20.047Z
sensor.sigen_consumed_power,-0.064,2025-09-15T22:33:20.162Z
sensor.sigen_consumed_power,0.054,2025-09-15T22:33:25.204Z
sensor.sigen_consumed_power,0.086,2025-09-15T22:33:30.116Z
sensor.sigen_consumed_power,0.07,2025-09-15T22:33:30.232Z
sensor.sigen_consumed_power,0.084,2025-09-15T22:33:35.253Z
sensor.sigen_consumed_power,0.091,2025-09-15T22:33:40.246Z
sensor.sigen_consumed_power,0.084,2025-09-15T22:33:40.372Z
sensor.sigen_consumed_power,0.092,2025-09-15T22:33:45.612Z
sensor.sigen_consumed_power,0.093,2025-09-15T22:33:50.378Z
sensor.sigen_consumed_power,0.079,2025-09-15T22:33:50.632Z
sensor.sigen_consumed_power,0.089,2025-09-15T22:33:55.700Z
sensor.sigen_consumed_power,0.093,2025-09-15T22:34:00.512Z
sensor.sigen_consumed_power,0.085,2025-09-15T22:34:00.732Z
sensor.sigen_consumed_power,0.092,2025-09-15T22:34:05.852Z
sensor.sigen_consumed_power,-0.183,2025-09-15T22:34:10.640Z
sensor.sigen_consumed_power,2.633,2025-09-15T22:34:10.872Z
sensor.sigen_consumed_power,2.472,2025-09-15T22:34:15.972Z
sensor.sigen_consumed_power,2.857,2025-09-15T22:34:20.774Z
sensor.sigen_consumed_power,2.56,2025-09-15T22:34:20.992Z
sensor.sigen_consumed_power,2.458,2025-09-15T22:34:26.096Z
sensor.sigen_consumed_power,2.635,2025-09-15T22:34:30.902Z
sensor.sigen_consumed_power,2.625,2025-09-15T22:34:31.123Z
sensor.sigen_consumed_power,2.557,2025-09-15T22:34:36.243Z
sensor.sigen_consumed_power,2.614,2025-09-15T22:34:41.032Z
sensor.sigen_consumed_power,2.623,2025-09-15T22:34:41.263Z
sensor.sigen_consumed_power,2.604,2025-09-15T22:34:46.433Z
sensor.sigen_consumed_power,2.608,2025-09-15T22:34:51.163Z
sensor.sigen_consumed_power,2.616,2025-09-15T22:34:51.453Z
sensor.sigen_consumed_power,2.622,2025-09-15T22:34:56.504Z
sensor.sigen_consumed_power,2.628,2025-09-15T22:35:01.295Z
sensor.sigen_consumed_power,2.642,2025-09-15T22:35:01.526Z
sensor.sigen_consumed_power,2.643,2025-09-15T22:35:06.823Z
sensor.sigen_consumed_power,2.634,2025-09-15T22:35:11.542Z
sensor.sigen_consumed_power,2.637,2025-09-15T22:35:11.913Z
sensor.sigen_consumed_power,2.621,2025-09-15T22:35:16.954Z
sensor.sigen_consumed_power,2.629,2025-09-15T22:35:21.660Z
sensor.sigen_consumed_power,2.63,2025-09-15T22:35:22.043Z
sensor.sigen_consumed_power,2.625,2025-09-15T22:35:27.249Z
sensor.sigen_consumed_power,2.636,2025-09-15T22:35:31.792Z
sensor.sigen_consumed_power,2.628,2025-09-15T22:35:32.384Z
sensor.sigen_consumed_power,2.657,2025-09-15T22:35:37.424Z
sensor.sigen_consumed_power,2.62,2025-09-15T22:35:41.923Z
sensor.sigen_consumed_power,2.623,2025-09-15T22:35:42.513Z
sensor.sigen_consumed_power,2.605,2025-09-15T22:35:47.533Z
sensor.sigen_consumed_power,2.626,2025-09-15T22:35:52.053Z
sensor.sigen_consumed_power,2.608,2025-09-15T22:35:52.643Z
sensor.sigen_consumed_power,2.604,2025-09-15T22:35:57.664Z
sensor.sigen_consumed_power,2.596,2025-09-15T22:36:02.183Z
sensor.sigen_consumed_power,2.586,2025-09-15T22:36:02.774Z
sensor.sigen_consumed_power,2.731,2025-09-15T22:36:07.883Z
sensor.sigen_consumed_power,2.701,2025-09-15T22:36:12.314Z
sensor.sigen_consumed_power,2.545,2025-09-15T22:36:13.004Z
sensor.sigen_consumed_power,2.551,2025-09-15T22:36:18.024Z
sensor.sigen_consumed_power,2.584,2025-09-15T22:36:22.445Z
sensor.sigen_consumed_power,2.582,2025-09-15T22:36:23.044Z
sensor.sigen_consumed_power,2.593,2025-09-15T22:36:28.074Z
