"entity_id","state","last_changed"
"sensor.sigen_consumed_power","0.672","2025-09-16 00:00:00.000Z"
"sensor.sigen_consumed_power","0.685","2025-09-16 00:01:00.000Z"
"sensor.sigen_consumed_power","0.669","2025-09-16 00:02:00.000Z"
"sensor.sigen_consumed_power","0.684","2025-09-16 00:03:00.000Z"
"sensor.sigen_consumed_power","0.748","2025-09-16 00:04:00.000Z"
"sensor.sigen_consumed_power","0.792","2025-09-16 00:05:00.000Z"
"sensor.sigen_consumed_power","0.734","2025-09-16 00:06:00.000Z"
"sensor.sigen_consumed_power","0.707","2025-09-16 00:07:00.000Z"
"sensor.sigen_consumed_power","0.731","2025-09-16 00:08:00.000Z"
"sensor.sigen_consumed_power","0.734","2025-09-16 00:09:00.000Z"
"sensor.sigen_consumed_power","0.715","2025-09-16 00:10:00.000Z"
"sensor.sigen_consumed_power","0.719","2025-09-16 00:11:00.000Z"
"sensor.sigen_consumed_power","0.738","2025-09-16 00:12:00.000Z"
"sensor.sigen_consumed_power","0.72","2025-09-16 00:13:00.000Z"
"sensor.sigen_consumed_power","0.74","2025-09-16 00:14:00.000Z"
"sensor.sigen_consumed_power","0.722","2025-09-16 00:15:00.000Z"
"sensor.sigen_consumed_power","0.722","2025-09-16 00:16:00.000Z"
"sensor.sigen_consumed_power","0.721","2025-09-16 00:17:00.000Z"
"sensor.sigen_consumed_power","0.722","2025-09-16 00:18:00.000Z"
"sensor.sigen_consumed_power","0.718","2025-09-16 00:19:00.000Z"
"sensor.sigen_consumed_power","0.829","2025-09-16 00:20:00.000Z"
"sensor.sigen_consumed_power","0.787","2025-09-16 00:21:00.000Z"
"sensor.sigen_consumed_power","0.739","2025-09-16 00:22:00.000Z"
"sensor.sigen_consumed_power","0.728","2025-09-16 00:23:00.000Z"
"sensor.sigen_consumed_power","0.726","2025-09-16 00:24:00.000Z"
"sensor.sigen_consumed_power","0.729","2025-09-16 00:25:00.000Z"
"sensor.sigen_consumed_power","0.678","2025-09-16 00:26:00.000Z"
"sensor.sigen_consumed_power","0.684","2025-09-16 00:27:00.000Z"
"sensor.sigen_consumed_power","0.676","2025-09-16 00:28:00.000Z"
"sensor.sigen_consumed_power","0.676","2025-09-16 00:29:00.000Z"
"sensor.sigen_consumed_power","0.674","2025-09-16 00:30:00.000Z"
"sensor.sigen_consumed_power","0.676","2025-09-16 00:31:00.000Z"
"sensor.sigen_consumed_power","0.689","2025-09-16 00:32:00.000Z"
"sensor.sigen_consumed_power","0.679","2025-09-16 00:33:00.000Z"
"sensor.sigen_consumed_power","0.678","2025-09-16 00:34:00.000Z"
"sensor.sigen_consumed_power","0.687","2025-09-16 00:35:00.000Z"
"sensor.sigen_consumed_power","0.753","2025-09-16 00:36:00.000Z"
"sensor.sigen_consumed_power","0.718","2025-09-16 00:37:00.000Z"
"sensor.sigen_consumed_power","0.588","2025-09-16 00:38:00.000Z"
"sensor.sigen_consumed_power","0.59","2025-09-16 00:39:00.000Z"
"sensor.sigen_consumed_power","0.584","2025-09-16 00:40:00.000Z"
"sensor.sigen_consumed_power","0.601","2025-09-16 00:41:00.000Z"
"sensor.sigen_consumed_power","0.591","2025-09-16 00:42:00.000Z"
"sensor.sigen_consumed_power","0.601","2025-09-16 00:43:00.000Z"
"sensor.sigen_consumed_power","0.599","2025-09-16 00:44:00.000Z"
"sensor.sigen_consumed_power","0.615","2025-09-16 00:45:00.000Z"
"sensor.sigen_consumed_power","0.635","2025-09-16 00:46:00.000Z"
