"timestamp","sensor.sigen_consumed_power","sensor.sigen_ess_charge_discharge_power","sensor.sigen_grid_sensor_export_power","sensor.sigen_grid_sensor_import_power","sensor.sigen_pv_power"
"2025-09-16T12:00:00.000Z","0.672","0","0","0.672","0"
"2025-09-16T12:01:00.000Z","0.685",,,"0.685",
"2025-09-16T12:02:00.000Z","0.669",,,"0.669",
"2025-09-16T12:03:00.000Z","0.684",,,"0.684",
"2025-09-16T12:04:00.000Z","0.748",,,"0.748",
"2025-09-16T12:05:00.000Z","0.792",,,"0.792",
"2025-09-16T12:06:00.000Z","0.734",,,"0.734",
"2025-09-16T12:07:00.000Z","0.707",,,"0.707",
"2025-09-16T12:08:00.000Z","0.731",,,"0.731",
"2025-09-16T12:09:00.000Z","0.734",,,"0.734",
"2025-09-16T12:10:00.000Z","0.715",,,"0.715",
"2025-09-16T12:11:00.000Z","0.719",,,"0.719",
"2025-09-16T12:12:00.000Z","0.738",,,"0.738",
"2025-09-16T12:13:00.000Z","0.72",,,"0.72",
"2025-09-16T12:14:00.000Z","0.74",,,"0.74",
"2025-09-16T12:15:00.000Z","0.722",,,"0.722",
"2025-09-16T12:16:00.000Z","0.722",,,"0.722",
"2025-09-16T12:17:00.000Z","0.721",,,"0.721",
"2025-09-16T12:18:00.000Z","0.722",,,"0.722",
"2025-09-16T12:19:00.000Z","0.718",,,"0.718",
"2025-09-16T12:20:00.000Z","0.829",,,"0.829",
"2025-09-16T12:21:00.000Z","0.787",,,"0.787",
"2025-09-16T12:22:00.000Z","0.739",,,"0.739",
"2025-09-16T12:23:00.000Z","0.728",,,"0.728",
"2025-09-16T12:24:00.000Z","0.726",,,"0.726",
"2025-09-16T12:25:00.000Z","0.729",,,"0.729",
"2025-09-16T12:26:00.000Z","0.678",,,"0.678",
"2025-09-16T12:27:00.000Z","0.684",,,"0.684",
"2025-09-16T12:28:00.000Z","0.676",,,"0.676",
"2025-09-16T12:29:00.000Z","0.676",,,"0.676",
"2025-09-16T12:30:00.000Z","0.674",,,"0.674",
"2025-09-16T12:31:00.000Z","0.676",,,"0.676",
"2025-09-16T12:32:00.000Z","0.689",,,"0.689",
"2025-09-16T12:33:00.000Z","0.679",,,"0.679",
"2025-09-16T12:34:00.000Z","0.678",,,"0.678",
"2025-09-16T12:35:00.000Z","0.687",,,"0.687",
"2025-09-16T12:36:00.000Z","0.753",,,"0.753",
"2025-09-16T12:37:00.000Z","0.718",,,"0.718",
"2025-09-16T12:38:00.000Z","0.588",,,"0.588",
"2025-09-16T12:39:00.000Z","0.59",,,"0.59",
"2025-09-16T12:40:00.000Z","0.584",,,"0.584",
"2025-09-16T12:41:00.000Z","0.601",,,"0.601",
"2025-09-16T12:42:00.000Z","0.591",,,"0.591",
"2025-09-16T12:43:00.000Z","0.601",,,"0.601",
"2025-09-16T12:44:00.000Z","0.599",,,"0.599",
"2025-09-16T12:45:00.000Z","0.615",,,"0.615",
"2025-09-16T12:46:00.000Z","0.635",,,"0.635",
"2025-09-16T12:47:00.000Z","0.624",,,"0.624",
"2025-09-16T12:48:00.000Z","0.636",,,"0.636",
"2025-09-16T12:49:00.000Z","0.65",,,"0.65",
"2025-09-16T12:50:00.000Z","0.64",,,"0.64",
"2025-09-16T12:51:00.000Z","0.637",,,"0.637",
"2025-09-16T12:52:00.000Z","0.693",,,"0.693",
"2025-09-16T12:53:00.000Z","0.72",,,"0.72",
"2025-09-16T12:54:00.000Z","0.641",,,"0.641",
"2025-09-16T12:55:00.000Z","0.647",,,"0.647",
"2025-09-16T12:56:00.000Z","0.647",,,"0.647",
"2025-09-16T12:57:00.000Z","0.644",,,"0.644",
"2025-09-16T12:58:00.000Z","0.635",,,"0.635",
"2025-09-16T12:59:00.000Z","0.655",,,"0.655",
"2025-09-16T13:00:00.000Z","0.639",,,"0.639",
"2025-09-16T13:01:00.000Z","0.639",,,"0.639",
"2025-09-16T13:02:00.000Z","0.638",,,"0.638",
"2025-09-16T13:03:00.000Z","0.646",,,"0.646",
"2025-09-16T13:04:00.000Z","0.638",,,"0.638",
"2025-09-16T13:05:00.000Z","0.637",,,"0.637",
"2025-09-16T13:06:00.000Z","0.641",,,"0.641",
"2025-09-16T13:07:00.000Z","0.638",,,"0.638",
"2025-09-16T13:08:00.000Z","0.694",,,"0.694",
"2025-09-16T13:09:00.000Z","0.659",,,"0.659",
"2025-09-16T13:10:00.000Z","0.594",,,"0.594",
"2025-09-16T13:11:00.000Z","0.596",,,"0.596",
"2025-09-16T13:12:00.000Z","0.588",,,"0.588",
"2025-09-16T13:13:00.000Z","0.59",,,"0.59",
"2025-09-16T13:14:00.000Z","0.586",,,"0.586",
"2025-09-16T13:15:00.000Z","0.601",,,"0.601",
"2025-09-16T13:16:00.000Z","0.581",,,"0.581",
"2025-09-16T13:17:00.000Z","0.597",,,"0.597",
"2025-09-16T13:18:00.000Z","0.588",,,"0.588",
"2025-09-16T13:19:00.000Z","0.604",,,"0.604",
"2025-09-16T13:20:00.000Z","0.587",,,"0.587",
"2025-09-16T13:21:00.000Z","0.597",,,"0.597",
"2025-09-16T13:22:00.000Z","0.586",,,"0.586",
"2025-09-16T13:23:00.000Z","0.591",,,"0.591",
"2025-09-16T13:24:00.000Z","0.656",,,"0.656",
"2025-09-16T13:25:00.000Z","0.654",,,"0.654",
"2025-09-16T13:26:00.000Z","0.589",,,"0.589",
"2025-09-16T13:27:00.000Z","0.615",,,"0.615",
"2025-09-16T13:28:00.000Z","0.627",,,"0.627",
"2025-09-16T13:29:00.000Z","0.614",,,"0.614",
"2025-09-16T13:30:00.000Z","0.643",,,"0.643",
"2025-09-16T13:31:00.000Z","0.627",,,"0.627",
"2025-09-16T13:32:00.000Z","0.635",,,"0.635",
"2025-09-16T13:33:00.000Z","0.632",,,"0.632",
"2025-09-16T13:34:00.000Z","0.641",,,"0.641",
"2025-09-16T13:35:00.000Z","0.629",,,"0.629",
"2025-09-16T13:36:00.000Z","0.634",,,"0.634",
"2025-09-16T13:37:00.000Z","0.654",,,"0.654",
"2025-09-16T13:38:00.000Z","0.636",,,"0.636",
"2025-09-16T13:39:00.000Z","0.641",,,"0.641",
"2025-09-16T13:40:00.000Z","0.72",,,"0.72",
"2025-09-16T13:41:00.000Z","0.697",,,"0.697",
"2025-09-16T13:42:00.000Z","0.639",,,"0.639",
"2025-09-16T13:43:00.000Z","0.65",,,"0.65",
"2025-09-16T13:44:00.000Z","0.65",,,"0.65",
"2025-09-16T13:45:00.000Z","0.709",,,"0.709",
"2025-09-16T13:46:00.000Z","0.733",,,"0.733",
"2025-09-16T13:47:00.000Z","0.735",,,"0.735",
"2025-09-16T13:48:00.000Z","0.749",,,"0.749",
"2025-09-16T13:49:00.000Z","0.686",,,"0.686",
"2025-09-16T13:50:00.000Z","0.698",,,"0.698",
"2025-09-16T13:51:00.000Z","0.685",,,"0.685",
"2025-09-16T13:52:00.000Z","0.688",,,"0.688",
"2025-09-16T13:53:00.000Z","0.681",,,"0.681",
"2025-09-16T13:54:00.000Z","0.692",,,"0.692",
"2025-09-16T13:55:00.000Z","0.698",,,"0.698",
"2025-09-16T13:56:00.000Z","0.74",,,"0.74",
"2025-09-16T13:57:00.000Z","0.759",,,"0.759",
"2025-09-16T13:58:00.000Z","0.69",,,"0.69",
"2025-09-16T13:59:00.000Z","0.706",,,"0.706",
"2025-09-16T14:00:00.000Z","0.68",,,"0.68",
"2025-09-16T14:01:00.000Z","0.696",,,"0.696",
